R: 8, C: 8
0 4, 196.000000 364.000000
0 5, 284.000000 420.000000
0 6, 372.000000 476.000000
0 7, 460.000000 532.000000
1 0, 252.000000 196.000000
1 1, 372.000000 284.000000
1 2, 492.000000 372.000000
1 3, 612.000000 460.000000
1 4, 308.000000 548.000000
1 5, 460.000000 636.000000
1 6, 612.000000 724.000000
1 7, 764.000000 812.000000
2 0, 364.000000 252.000000
2 1, 420.000000 372.000000
2 2, 476.000000 492.000000
2 3, 532.000000 612.000000
2 4, 548.000000 732.000000
2 5, 636.000000 852.000000
2 6, 724.000000 972.000000
2 7, 812.000000 1092.000000
3 0, 732.000000 308.000000
3 1, 852.000000 460.000000
3 2, 972.000000 612.000000
3 3, 1092.000000 764.000000
4 4, 420.000000 1100.000000
4 5, 636.000000 1284.000000
4 6, 852.000000 1468.000000
4 7, 1068.000000 1652.000000
5 0, 476.000000 420.000000
5 1, 724.000000 636.000000
5 2, 972.000000 852.000000
5 3, 1220.000000 1068.000000
5 4, 532.000000 1284.000000
5 5, 812.000000 1500.000000
5 6, 1092.000000 1716.000000
5 7, 1372.000000 1932.000000
6 0, 1100.000000 476.000000
6 1, 1284.000000 724.000000
6 2, 1468.000000 972.000000
6 3, 1652.000000 1220.000000
6 4, 1284.000000 1468.000000
6 5, 1500.000000 1716.000000
6 6, 1716.000000 1964.000000
6 7, 1932.000000 2212.000000
7 0, 1468.000000 532.000000
7 1, 1716.000000 812.000000
7 2, 1964.000000 1092.000000
7 3, 2212.000000 1372.000000
Job complete
